3000,"APPLES","Alkmene",25.58
3001,"APPLES","Aurora/Southern Rose",70.43
3002,"APPLES","Cantared",75.20
3003,"APPLES","D'Estivale",92.27
3004,"APPLES","Discovery",25.02
3005,"APPLES","Golden Delicious Blush",35.24
3006,"APPLES","Ingrid Marie",0.81
3007,"APPLES","Lochbuie",73.32
3008,"APPLES","Rubinette",89.82
3009,"APPLES","Russet",2.84
3010,"APPLES","Cripps Red",67.54
3011,"APPLES","Worcester",94.82
3012,"PEARS","Abate Fetel",65.76
3013,"PEARS","Beurre Hardy",42.75
3014,"PEARS","Bon Rouge",91.53
3015,"PEARS","Clara Friis",73.55
3016,"PEARS","Concorde",74.18
3017,"PEARS","Conference",39.27
3018,"PEARS","Durondeau",24.04
3019,"PEARS","Flamingo",69.69
3020,"PEARS","General Leclerc",84.09
3021,"PEARS","Guyot",84.19
3022,"PEARS","Josephine",30.53
3023,"PEARS","Passe Crassane",50.48
3024,"PEARS","Rocha",47.92
3025,"PEARS","Rosemarie",27.86
3026,"PEARS","Triumph de Vienne",42.71
3027,"ORANGES","Shamouti",6.56
3028,"ORANGES","Delta Seedless",89.40
3029,"TANGERINES/MANDARINS","Satsuma",7.31
3030,"TANGERINES/MANDARINS","Nova (includes Clemenvilla, Suntina)",9.81
3031,"TANGERINES/MANDARINS","Jamaican Tangor (includes Ortanique, Mandor, Mandora, Tambor, Topaz, Ortanline)",29.29
3032,"TANGERINES/MANDARINS","Ellendale",17.18
3033,"MELON","Charentais",66.60
3034,"MELON","Charentais",79.26
3035,"NECTARINE","White Flesh, Tree Ripened, Ready-to-eat",22.24
3036,"ORANGES","Midknight",73.73
3037,"PINEAPPLE","Queen",54.41
3038,"PASSION FRUIT","Granadilla, Orange",14.38
3039,"PHYSALIS/CAPE GOOSEBERRY/GROUND CHERRY","",61.26
3040,"PITAHAYA","Red (skin color)",59.74
3041,"RAMBUTAN","",12.60
3042,"MANGOSTEEN","",63.14
3043,"GRAPES","Italia, Seeded",71.84
3044,"APRICOTS","Black",89.56
3045,"DATES","Fresh, On Branch",23.33
3046,"DATES","Fresh, Frozen",35.81
3047,"DATES","Medjool",53.88
3048,"BEANS","Helda/Flat",10.31
3049,"BEANS","Fine",95.63
3050,"CABBAGE","Dutch White/Winter White",92.49
3051,"CABBAGE","Spring Cabbage/Spring Greens",95.23
3052,"GARLIC","String",33.30
3053,"PARSNIP","Baby",67.28
3054,"PEPPERS (CAPSICUMS)","Elongated (Clovis Red/Lamuyo Red)",46.46
3055,"PEPPERS (CAPSICUMS)","Elongated (Clovis Green/Lamuyo Green)",79.78
3056,"PEPPERS (CAPSICUMS)","Elongated (Clovis Yellow/Lamuyo Yellow)",23.20
3057,"PEPPERS (CAPSICUMS)","Elongated (Clovis Orange/Lamuyo Orange)",8.83
3058,"PEPPERS (CAPSICUMS)","Elongated (Clovis White/Lamuyo White)",74.40
3059,"SQUASH","Crown Prince",73.55
3060,"SQUASH","Vegetable Marrow",25.78
3061,"TOMATOES","Beef/Beefsteak",62.60
3062,"BAY LEAVES","",8.32
3063,"FENNEL LEAVES","",70.42
3064,"ALOE VERA LEAVES","",34.30
3065,"APPLES","Cameo",74.81
3066,"APPLES","Cameo",54.91
3067,"APPLES","Swiss Gourmet",93.04
3068,"APPLES","Swiss Gourmet",99.73
3069,"APPLES","Gravenstein, Red",78.46
3070,"APPLES","Gravenstein, Red",98.08
3071,"APPLES","Granny Smith, Red",65.52
3072,"APPLES","Lady",94.65
3073,"APPLES","Macoun",40.17
3074,"APPLES","Greening (RI)",27.08
3075,"APPLES","Baldwin",93.25
3076,"APPLES","Melrose",81.36
3077,"APPLES","Northern Spy",13.09
3078,"APPLES","Liberty",38.82
3079,"ASPARAGUS","Purple",53.52
3080,"AVOCADOS","Pinkerton",72.54
3081,"BERRIES","Saskatoon",92.03
3082,"BROCCOLI","Crowns",39.04
3083,"BRUSSELS SPROUTS","Stalk",50.51
3084,"CHERVIL","",42.77
3085,"CORN","Indian, Decorative",5.61
3086,"CORN","Indian. Decorative",58.47
3087,"CORN","Indian, Strawberry",70.88
3088,"CURRANTS","Red",83.94
3089,"EGGPLANT (AUBERGINE)","Chinese",22.16
3090,"EGGPLANT (AUBERGINE)","Thai",88.62
3091,"GOBO ROOT/BURDOCK","",42.87
3092,"GRAPEFRUIT","OroBlanco/Sweetie",67.76
3093,"GRAPES","Retailer Assigned",34.99
3094,"GRAPES","Retailer Assigned",66.12
3095,"KALE","Multicolor",64.29
3096,"KOHLRABI","Purple/Red/All Other Colors",69.01
3097,"LETTUCE","Romaine, Red",39.70
3098,"LETTUCE","Boston, Red",14.65
3099,"LOTUS ROOT","",47.07
3100,"MELON","Gold Honeydew",80.17
3101,"MELON","Piel de Sapo",15.50
3102,"MUSHROOMS","Morel",95.86
3103,"MUSHROOMS","Enoki",82.72
3104,"APPLES","RoHo 3615",13.88
3105,"CASHEWS","",32.44
3106,"MACADAMIA","",77.67
3107,"ORANGES","Navel",56.08
3108,"ORANGES","Valencia",96.92
3109,"ORANGES","Seville (Marmalade type)",86.59
3110,"ORANGES","Navel, Cara Cara (Red)",50.11
3111,"PAPAYA/PAWPAW","Red-Fleshed (Solo Sunrise)",66.79
3112,"PAPAYA/PAWPAW","Meridol",56.71
